frame,tracker_id,meas_x,meas_y,meas_w,meas_h,smooth_x,smooth_y,smooth_w,smooth_h,ok,reinit_attempted,reinit_success,reinit_failed
28,2,752.0,458.0,52.0,51.0,752.7401924133301,458.62952995300293,50.550865173339844,49.55112075805664,True,False,False,False
29,1,548.0,471.0,180.0,62.0,547.1161346435547,470.916467666626,181.54788208007812,62.5356559753418,True,False,False,False
29,2,754.0,458.0,50.0,49.0,753.5426902770996,458.3438968658447,50.40204620361328,49.4022331237793,True,False,False,False
30,1,546.0,470.0,183.0,63.0,546.2431640625,470.50965881347656,181.940185546875,62.661102294921875,True,False,False,False
30,2,755.0,458.0,48.0,47.0,754.2269554138184,457.6210231781006,49.75312042236328,48.75325393676758,True,False,False,False
31,1,548.0,471.0,180.0,62.0,546.6704025268555,470.77565574645996,181.41603088378906,62.48250198364258,True,False,False,False
31,2,750.0,463.0,46.0,45.0,750.1633014678955,460.71803283691406,48.739192962646484,47.739288330078125,True,False,False,False
32,1,549.0,472.0,176.0,61.0,546.8158111572266,471.43877029418945,179.95285034179688,62.081993103027344,True,False,False,False
32,2,750.0,464.0,45.0,44.0,748.0334968566895,462.8949432373047,47.729026794433594,46.729095458984375,True,False,False,False
33,1,549.0,472.0,176.0,61.0,547.1451034545898,471.7843265533447,178.8849639892578,61.7896842956543,True,False,False,False
33,2,750.0,463.0,44.0,44.0,747.1575679779053,463.13205337524414,46.72160720825195,45.99181365966797,True,False,False,False
34,1,549.0,472.0,176.0,61.0,547.5331497192383,471.93832778930664,178.10557556152344,61.57634735107422,True,False,False,False
34,2,750.0,461.0,44.0,44.0,747.2474880218506,461.5468864440918,45.98634719848633,45.453712463378906,True,False,False,False
35,1,549.0,472.0,176.0,61.0,547.9019775390625,471.9896297454834,177.5367431640625,61.4206428527832,True,False,False,False
35,2,750.0,463.0,44.0,44.0,747.7600021362305,462.266414642334,45.44972229003906,45.06098175048828,True,False,False,False
36,1,550.0,473.0,173.0,60.0,548.2262802124023,472.52100563049316,176.3111114501953,61.03684616088867,True,False,False,False
36,2,750.0,464.0,44.0,43.0,748.3700122833252,463.19901275634766,45.05807113647461,44.50419616699219,True,False,False,False
37,1,548.0,472.0,176.0,61.0,547.779167175293,472.2693290710449,176.22706604003906,61.026893615722656,True,False,False,False
37,2,751.0,464.0,43.0,42.0,749.4406147003174,463.43153190612793,44.502071380615234,43.82767105102539,True,False,False,False
38,1,548.0,472.0,176.0,61.0,547.6255111694336,472.10661125183105,176.1657257080078,61.01962661743164,True,False,False,False
38,2,752.0,465.0,43.0,42.0,750.9275074005127,464.346378326416,44.09627914428711,43.33391571044922,True,False,False,False
39,1,547.0,472.0,176.0,61.0,546.8465042114258,472.0151767730713,176.12095642089844,61.01432418823242,True,False,False,False
39,2,751.0,464.0,43.0,42.0,750.9414348602295,464.0221061706543,43.800113677978516,42.973548889160156,True,False,False,False
40,1,549.0,473.0,173.0,60.0,547.3408279418945,472.499662399292,175.27781677246094,60.740299224853516,True,False,False,False
40,2,751.0,464.0,43.0,42.0,750.9227428436279,463.83629035949707,43.58395767211914,42.71053695678711,True,False,False,False
41,1,547.0,472.0,176.0,61.0,546.989128112793,472.2461681365967,175.47291564941406,60.81045913696289,True,False,False,False
41,2,749.0,463.0,44.0,44.0,749.5937175750732,463.48889350891113,43.696353912353516,43.058895111083984,True,False,False,False
42,1,547.0,473.0,176.0,61.0,546.8670272827148,472.88084411621094,175.6153106689453,60.861663818359375,True,False,False,False
42,2,749.0,462.0,45.0,44.0,749.1816005706787,462.5013885498047,44.04854202270508,43.313140869140625,True,False,False,False
43,1,547.0,473.0,176.0,61.0,546.8604125976562,473.17938804626465,175.71923828125,60.8990364074707,True,False,False,False
43,2,749.0,462.0,46.0,45.0,749.2706623077393,462.26989936828613,44.575740814208984,43.768856048583984,True,False,False,False
44,1,547.0,473.0,176.0,61.0,546.8991470336914,473.2731113433838,175.7950897216797,60.92631149291992,True,False,False,False
44,2,747.0,465.0,46.0,45.0,747.750638961792,464.52364349365234,44.960514068603516,44.10145568847656,True,False,False,False
45,1,547.0,473.0,176.0,61.0,546.9455642700195,473.2599220275879,175.85044860839844,60.94622039794922,True,False,False,False
45,2,748.0,465.0,45.0,44.0,747.5295467376709,465.35662269592285,44.9711799621582,44.07404708862305,True,False,False,False
46,1,546.0,473.0,176.0,61.0,546.1996536254883,473.20340156555176,175.89085388183594,60.960750579833984,True,False,False,False
46,2,748.0,465.0,45.0,44.0,747.5342597961426,465.63142585754395,44.978965759277344,44.05404281616211,True,False,False,False
47,1,548.0,473.0,173.0,60.0,546.6459274291992,472.88289070129395,175.10987854003906,60.70119857788086,True,False,False,False
47,2,748.0,464.0,44.0,44.0,747.3761520385742,464.83165740966797,44.71449279785156,44.03944396972656,True,False,False,False
48,1,546.0,472.0,176.0,61.0,546.218864440918,472.212890625,175.35035705566406,60.78192138671875,True,False,False,False
48,2,746.0,464.0,44.0,44.0,745.8378982543945,464.32163429260254,44.52146911621094,44.02878952026367,True,False,False,False
49,1,546.0,474.0,173.0,60.0,545.2534484863281,473.2068176269531,174.71539306640625,60.5706787109375,True,False,False,False
49,2,745.0,465.0,44.0,44.0,744.4149284362793,464.82262420654297,44.380592346191406,44.02101135253906,True,False,False,False
50,1,545.0,474.0,173.0,60.0,544.137565612793,473.7629680633545,174.25196838378906,60.416507720947266,True,False,False,False
50,2,745.0,464.0,44.0,44.0,743.9173259735107,464.2859115600586,44.277774810791016,44.01533508300781,True,False,False,False
51,1,544.0,474.0,173.0,60.0,543.0032119750977,474.02723693847656,173.9137420654297,60.303985595703125,True,False,False,False
51,2,743.0,463.0,45.0,44.0,742.6068172454834,463.2165412902832,44.4728889465332,44.011192321777344,True,False,False,False
52,1,544.0,475.0,169.0,59.0,541.6609115600586,474.6460952758789,172.5862579345703,59.95170593261719,True,False,False,False
52,2,740.0,464.0,46.0,45.0,740.064905166626,463.760648727417,44.88544845581055,44.278324127197266,True,False,False,False
53,1,542.0,474.0,169.0,59.0,539.8441314697266,474.1528549194336,171.61740112304688,59.69459533691406,True,False,False,False
53,2,738.0,464.0,46.0,45.0,737.4630603790283,464.07231521606445,45.18655014038086,44.473289489746094,True,False,False,False
54,1,540.0,474.0,169.0,59.0,537.8337936401367,473.8815975189209,170.91029357910156,59.5069465637207,True,False,False,False
54,2,735.0,468.0,46.0,45.0,734.1622638702393,467.3471145629883,45.406307220458984,44.61558532714844,True,False,False,False
55,1,539.0,475.0,169.0,59.0,536.5597915649414,474.551851272583,170.3942108154297,59.369991302490234,True,False,False,False
55,2,735.0,468.0,46.0,45.0,732.9689712524414,468.88033294677734,45.56669616699219,44.71943664550781,True,False,False,False
56,1,538.0,475.0,169.0,59.0,535.6763381958008,474.90975189208984,170.01756286621094,59.27003479003906,True,False,False,False
56,2,729.0,466.0,47.0,46.0,728.4581031799316,468.0487880706787,45.95391082763672,45.06538772583008,True,False,False,False
57,1,536.0,474.0,169.0,59.0,534.167366027832,474.2834167480469,169.74266052246094,59.19708251953125,True,False,False,False
57,2,727.0,465.0,47.0,46.0,725.1471214294434,466.5363426208496,46.23651885986328,45.31787872314453,True,False,False,False
58,1,537.0,474.0,169.0,59.0,534.6567840576172,473.9519443511963,169.54202270507812,59.14384078979492,True,False,False,False
58,2,727.0,464.0,47.0,46.0,724.1657562255859,464.83037185668945,46.442779541015625,45.502159118652344,True,False,False,False
59,1,536.0,475.0,169.0,59.0,534.5362091064453,474.59893798828125,169.39559936523438,59.10498046875,True,False,False,False
59,2,726.0,464.0,48.0,47.0,723.8325462341309,464.2195682525635,46.86347198486328,45.90681076049805,True,False,False,False
60,1,535.0,475.0,169.0,59.0,533.9843597412109,474.94945335388184,169.28872680664062,59.07661819458008,True,False,False,False
60,2,725.0,462.0,49.0,48.0,723.6622333526611,462.65639877319336,47.440670013427734,46.47229766845703,True,False,False,False
61,1,534.0,475.0,169.0,59.0,533.1634979248047,475.104211807251,169.21072387695312,59.0559196472168,True,False,False,False
61,2,726.0,463.0,49.0,48.0,724.719913482666,462.71545028686523,47.86193084716797,46.88501739501953,True,False,False,False
62,1,535.0,475.0,166.0,57.0,532.9928283691406,474.6321964263916,168.34332275390625,58.5004997253418,True,False,False,False
62,2,726.0,463.0,50.0,49.0,725.7377471923828,463.10645866394043,48.439544677734375,47.45639419555664,True,False,False,False
63,1,535.0,475.0,166.0,57.0,533.2259826660156,474.4400444030762,167.71026611328125,58.095130920410156,True,False,False,False
63,2,726.0,462.0,50.0,49.0,726.2922840118408,462.53653144836426,48.86111068725586,47.873409271240234,True,False,False,False
64,1,536.0,475.0,166.0,57.0,534.3941345214844,474.42394065856934,167.24822998046875,57.79927444458008,True,False,False,False
64,2,727.0,462.0,50.0,49.0,727.3017749786377,462.2373809814453,49.16878890991211,48.177764892578125,True,False,False,False
65,1,535.0,475.0,166.0,57.0,534.3761596679688,474.49891471862793,166.9110107421875,57.58334732055664,True,False,False,False
65,2,726.0,462.0,50.0,49.0,726.9201488494873,462.10000801086426,49.39334487915039,48.399898529052734,True,False,False,False
66,1,535.0,475.0,166.0,57.0,534.4550857543945,474.60682678222656,166.66490173339844,57.425750732421875,True,False,False,False
66,2,726.0,462.0,49.0,48.0,726.3412017822266,461.7922706604004,49.287078857421875,48.29186248779297,True,False,False,False
67,1,532.0,475.0,169.0,59.0,532.9893951416016,475.22703552246094,167.29574584960938,57.851043701171875,True,False,False,False
67,2,731.0,462.0,49.0,48.0,729.931432723999,461.6917724609375,49.20952224731445,48.2130126953125,True,False,False,False
68,1,532.0,475.0,169.0,59.0,532.2457580566406,475.494535446167,167.75616455078125,58.161441802978516,True,False,False,False
68,2,727.0,460.0,49.0,48.0,728.521806716919,460.13589096069336,49.15291976928711,48.15546417236328,True,False,False,False
69,1,533.0,476.0,166.0,57.0,531.9518508911133,475.81429290771484,167.28172302246094,57.84767150878906,True,False,False,False
69,2,726.0,460.0,49.0,48.0,726.8240184783936,459.4444885253906,49.11160659790039,48.11346435546875,True,False,False,False
70,1,532.0,476.0,169.0,59.0,531.9711532592773,476.46195220947266,167.7459259033203,58.15898132324219,True,False,False,False
70,2,725.0,460.0,49.0,48.0,725.1499462127686,459.26172637939453,49.08145523071289,48.08280944824219,True,False,False,False
71,1,532.0,476.0,169.0,59.0,532.0425415039062,476.67873191833496,168.084716796875,58.38618850708008,True,False,False,False
71,2,733.0,460.0,49.0,48.0,730.6773071289062,459.332483291626,49.0594482421875,48.0604362487793,True,False,False,False
72,1,533.0,476.0,169.0,59.0,532.8892440795898,476.6588382720947,168.3319854736328,58.5520133972168,True,False,False,False
72,2,741.0,464.0,49.0,48.0,739.7517433166504,462.6307773590088,49.04338836669922,48.04410934448242,True,False,False,False
73,1,533.0,476.0,169.0,59.0,533.2997436523438,476.5355815887451,168.512451171875,58.673038482666016,True,False,False,False
